ISBN,Title,Store,Price
0674018214,American Apartheid,Textbooks.com,6.5
0674018214,American Apartheid,Bookstores.com,6.34
0674018214,American Apartheid,Chegg,5.4
0674018214,American Apartheid,TextbookRecycling,4.7
0674018214,American Apartheid,TextbookRush,4.37
0674018214,American Apartheid,BooksRun,3.82
0674018214,American Apartheid,SellBackYourBook,2.25
0674018214,American Apartheid,CKY Books,1.84
0674018214,American Apartheid,Powell's,1.75
0691121869,The Origins of the Urban Crisis,SellBackYourBook,0.12
0691121869,The Origins of the Urban Crisis,TextbookRush,0.1
0691121869,The Origins of the Urban Crisis,Bookstores.com,0.1
074348763X,Crime and Punishment (Enriched Classics),Textbooks.com,0.5
074348763X,Crime and Punishment (Enriched Classics),SellBackYourBook,0.15
074348763X,Crime and Punishment (Enriched Classics),TextbookRush,0.1
0691153299,Story of Hebrew,SellBackYourBook,4.55
0691153299,Story of Hebrew,Bookstores.com,4.49
0691153299,Story of Hebrew,TextbookRush,4.25
0691153299,Story of Hebrew,TextbookManiac,4.08
0691153299,Story of Hebrew,Buyback Express,2.68
0691153299,Story of Hebrew,BooksRun,1.96
0691153299,Story of Hebrew,TextbookRecycling,0.26
0609805797,Seven Principles of Making Marriage Work,Powell's,1.25
0609805797,Seven Principles of Making Marriage Work,SellBackYourBook,0.26
041525406X,The Protestant Ethic and the Spirit of Capitalism,Textbooks.com,5.5
041525406X,The Protestant Ethic and the Spirit of Capitalism,Bookstores.com,5.09
041525406X,The Protestant Ethic and the Spirit of Capitalism,Chegg,4.32
041525406X,The Protestant Ethic and the Spirit of Capitalism,TextbookRush,2.8
041525406X,The Protestant Ethic and the Spirit of Capitalism,BooksRun,2.69
041525406X,The Protestant Ethic and the Spirit of Capitalism,TextbookRecycling,2.19
041525406X,The Protestant Ethic and the Spirit of Capitalism,Cash4Books,1.87
041525406X,The Protestant Ethic and the Spirit of Capitalism,Powell's,1.5
041525406X,The Protestant Ethic and the Spirit of Capitalism,CKY Books,1.02
041525406X,The Protestant Ethic and the Spirit of Capitalism,SellBackYourBook,0.92
0520235398,Genders in Production,TextbookRush,0.1
0226305813,Getting a Job,Textbooks.com,2.5
0226305813,Getting a Job,Bookstores.com,2.24
0226305813,Getting a Job,TextbookRush,0.99
0226305813,Getting a Job,SellBackYourBook,0.14
0684825503,The Magic Years,SellBackYourBook,0.26
0684825503,The Magic Years,TextbookRush,0.1
0879237996,Badenheim 1939,Textbooks.com,1
0879237996,Badenheim 1939,Powell's,0.75
0879237996,Badenheim 1939,TextbookRush,0.1
080706839X,Telling and Remembering: A Century of American Jewish Poetry,SellBackYourBook,0.14
0195115015,Becoming Attached: First Relationships and How They Shape Our Capacity to Love,Bookstores.com,2.55
0195115015,Becoming Attached: First Relationships and How They Shape Our Capacity to Love,Textbooks.com,2.5
0195115015,Becoming Attached: First Relationships and How They Shape Our Capacity to Love,Chegg,2.16
0195115015,Becoming Attached: First Relationships and How They Shape Our Capacity to Love,SellBackYourBook,2.06
0195115015,Becoming Attached: First Relationships and How They Shape Our Capacity to Love,TextbookRush,1.69
1400098297,Low-Fat Low-Cholesterol,TextbookRush,0.1
0316953199,The Glory,Powell's,0.75
0316953199,The Glory,TextbookRush,0.1
0316953199,The Glory,SellBackYourBook,0.08
0316954411,The Hope,Powell's,1
0316954411,The Hope,TextbookRush,0.1
1401341136,Cook Yourself Thin,SellBackYourBook,0.12
1401341136,Cook Yourself Thin,TextbookRush,0.1
0765701677,Personality Development and Psychotherapy in Our Diverse Society: A Sourcebook,CKY Books,0.25
0765701677,Personality Development and Psychotherapy in Our Diverse Society: A Sourcebook,SellBackYourBook,0.16
0814779433,Essential Papers on Messianic Movements and Personalities in Jewish History,SellBackYourBook,0.24
0814779433,Essential Papers on Messianic Movements and Personalities in Jewish History,CKY Books,0.1
9780935302257,Standards for Educational and Psychological Testing 1999,SellBackYourBook,0.15
9780452006478,New Testament,Textbooks.com,3.5
9780452006478,New Testament,Chegg,1.08
9780452006478,New Testament,SellBackYourBook,0.12
9780452006478,New Testament,TextbookRush,0.1
9780060191443,Dressing the Man,SellBackYourBook,6.55
9780060191443,Dressing the Man,Bookstores.com,6.49
9780060191443,Dressing the Man,TextbookRush,6.25
9780060191443,Dressing the Man,Amazon,5.35
9780060191443,Dressing the Man,TextbookManiac,4.06
9780060191443,Dressing the Man,Powell's,3
9780060191443,Dressing the Man,BooksRun,2.82
9780060191443,Dressing the Man,CKY Books,2.1
9780060191443,Dressing the Man,Buyback Express,1.72
9780060191443,Dressing the Man,TextbookRecycling,0.82
9780060191443,Dressing the Man,BlueRocketBooks,0.6
9780345427298,Milk Moustache Book,TextbookRush,0.1
0312991193,South Beach Diet,SellBackYourBook,0.26
0312991193,South Beach Diet,TextbookRush,0.1
9780060726461,Great Short Works of Fyodor Dostoevsky,TextbookRush,2.75
9780060726461,Great Short Works of Fyodor Dostoevsky,Bookstores.com,2.74
9780060726461,Great Short Works of Fyodor Dostoevsky,Textbooks.com,2.5
9780060726461,Great Short Works of Fyodor Dostoevsky,Chegg,2.16
9780060726461,Great Short Works of Fyodor Dostoevsky,SellBackYourBook,2.01
9780060726461,Great Short Works of Fyodor Dostoevsky,Powell's,1.5
9780060726461,Great Short Works of Fyodor Dostoevsky,TextbookRecycling,1.05
0452267307,Excellent Women,SellBackYourBook,0.15
0452267307,Excellent Women,TextbookRush,0.1
0140444734,A Confession and Other Religious Writings,Textbooks.com,1.5
0140444734,A Confession and Other Religious Writings,Chegg,1.08
0140444734,A Confession and Other Religious Writings,Powell's,1
0140444734,A Confession and Other Religious Writings,Bookstores.com,1
0140444734,A Confession and Other Religious Writings,TextbookRecycling,0.51
0140444734,A Confession and Other Religious Writings,SellBackYourBook,0.23
0140444734,A Confession and Other Religious Writings,TextbookRush,0.1
9780071433198,"If It's Raining in Brazil, Buy Starbucks",Powell's,1
9780071433198,"If It's Raining in Brazil, Buy Starbucks",SellBackYourBook,0.12
9780071433198,"If It's Raining in Brazil, Buy Starbucks",TextbookRush,0.1
9780385493628,Fermat's Enigma,Textbooks.com,1
9780385493628,Fermat's Enigma,Bookstores.com,1
9780385493628,Fermat's Enigma,SellBackYourBook,0.26
9780385493628,Fermat's Enigma,TextbookRush,0.1
9781400080762,"Boogers Are My Beat: More Lies, But Some Actual Journalism!",TextbookRush,0.1
9780671722623,Hamlet,SellBackYourBook,0.15
9780374527259,Sidewalk,Bookstores.com,2.59
9780374527259,Sidewalk,Textbooks.com,2.5
9780374527259,Sidewalk,Chegg,2.16
9780374527259,Sidewalk,TextbookRecycling,2.15
9780374527259,Sidewalk,SellBackYourBook,0.46
9780679723950,"Memories, Dreams, Reflections",SellBackYourBook,1.03
9780679723950,"Memories, Dreams, Reflections",Bookstores.com,1
9780679723950,"Memories, Dreams, Reflections",TextbookRecycling,0.26
9780679723950,"Memories, Dreams, Reflections",TextbookRush,0.07
9781476763699,The Cinderella Murder: An Under Suspicion Novel,SellBackYourBook,0.26
9781476763699,The Cinderella Murder: An Under Suspicion Novel,TextbookRush,0.1
9780142000274,Anna Karenina,SellBackYourBook,0.12
9781558615052,Laura,SellBackYourBook,1.54
9781558615052,Laura,Textbooks.com,1.5
9781558615052,Laura,Chegg,1.08
9781558615052,Laura,Powell's,1
9781558615052,Laura,Bookstores.com,1
9781558615052,Laura,TextbookRush,0.72
9781558615052,Laura,BlueRocketBooks,0.62
9780307454546,The Girl with the Dragon Tattoo,TextbookRush,0.1
9780486280417,The Souls of Black Folk,Textbooks.com,1
9780486280417,The Souls of Black Folk,Bookstores.com,0.5
9780486280417,The Souls of Black Folk,TextbookRecycling,0.26
9780486280417,The Souls of Black Folk,SellBackYourBook,0.12
9780486280417,The Souls of Black Folk,BlueRocketBooks,0.11
9780486280417,The Souls of Black Folk,TextbookRush,0.1
9780446619035,"Mary, Mary",SellBackYourBook,0.26
9780446619035,"Mary, Mary",TextbookRush,0.1
0451530063,Crime and Punishment,SellBackYourBook,0.15
